local_identifier	row_number	parameter	description	method	pi
PANGAEA.875569_042	42	Phaeophorbide a	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_043	43	Phaeophorbide a	maximum value in the selected environmental feature around the sampling date and location, sum of Phaeophorbid a and Phaeophorbid a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_044	44	19-Butanoyloxyfucoxanthin	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_045	45	19-Butanoyloxyfucoxanthin	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_046	46	19-Butanoyloxyfucoxanthin	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_047	47	19-Butanoyloxyfucoxanthin	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_048	48	19-Butanoyloxyfucoxanthin	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_049	49	Fucoxanthin	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_050	50	Fucoxanthin	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_051	51	Fucoxanthin	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_052	52	Fucoxanthin	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_053	53	Fucoxanthin	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_054	54	Neoxanthin	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_055	55	Neoxanthin	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_056	56	Neoxanthin	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
