sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_barcode_num	tara_station
ERS488434	SAMEA2731098	ERR4691750	ERX4612859	PRJEB4352	TARA_A100000693	TARA_021
ERS488436	SAMEA2731119	ERR4691749	ERX4612858	PRJEB4352	TARA_A100000689	TARA_021
ERS488447	SAMEA2619746	ERR1726540	ERX1796569	PRJEB4352	TARA_A100000539	TARA_022
ERS488453	SAMEA2657062	ERR1726546	ERX1796953	PRJEB4352	TARA_A100000538	TARA_022
ERS488461	SAMEA2619755	ERR1726715	ERX1796880	PRJEB4352	TARA_A100000696	TARA_022
ERS488460	SAMEA2619754	ERR868496	ERX948027	PRJEB4352	TARA_A100000698	TARA_022
ERS488453	SAMEA2657062	ERR1726613	ERX1796608	PRJEB4352	TARA_A100000538	TARA_022
ERS488464	SAMEA2657048	ERR1726743	ERX1796843	PRJEB4352	TARA_A100000695	TARA_022
ERS488468	SAMEA2731167	ERR1726810	ERX1796670	PRJEB4352	TARA_A100000536	TARA_022
ERS488464	SAMEA2657048	ERR1726836	ERX1796882	PRJEB4352	TARA_A100000695	TARA_022
ERS506046	SAMEA2661639	ERR1726718	ERX1796926	PRJEB4352	TARA_A100000700	TARA_022
ERS488468	SAMEA2731167	ERR1726802	ERX1796833	PRJEB4352	TARA_A100000536	TARA_022
ERS488447	SAMEA2619746	ERR1726929	ERX1796871	PRJEB4352	TARA_A100000539	TARA_022
ERS488446	SAMEA2619745	ERR868403	ERX948113	PRJEB4352	TARA_A100000534	TARA_022
ERS488448	SAMEA2619747	ERR594378	ERX552350	PRJEB4419	TARA_S200002703	TARA_022
ERS488448	SAMEA2619747	ERR594406	ERX552330	PRJEB4419	TARA_S200002703	TARA_022
ERS329497	SAMEA2189650	ERR318598	ERX291748	PRJEB4352	TARA_X000000002	TARA_023
ERS329497	SAMEA2189650	ERR318615	ERX291755	PRJEB4352	TARA_X000000002	TARA_023
ERS329498	SAMEA2189651	ERR318601	ERX291761	PRJEB4352	TARA_A100000573	TARA_023
ERS329500	SAMEA2189653	ERR318600	ERX291731	PRJEB4352	TARA_A100000467	TARA_023
ERS329504	SAMEA2189657	ERR318613	ERX291743	PRJEB4352	TARA_A100000568	TARA_023
ERS329506	SAMEA2189659	ERR318582	ERX291760	PRJEB4352	TARA_A100000574	TARA_023
ERS329507	SAMEA2189660	ERR318583	ERX291738	PRJEB4352	TARA_A100000472	TARA_023
ERS329507	SAMEA2189660	ERR318594	ERX291750	PRJEB4352	TARA_A100000472	TARA_023
ERS329509	SAMEA2189662	ERR318603	ERX291735	PRJEB4352	TARA_A100000564	TARA_023
ERS329509	SAMEA2189662	ERR318605	ERX291734	PRJEB4352	TARA_A100000564	TARA_023
ERS329511	SAMEA2189664	ERR318593	ERX291732	PRJEB4352	TARA_A100000465	TARA_023
ERS329511	SAMEA2189664	ERR318595	ERX291765	PRJEB4352	TARA_A100000465	TARA_023
ERS478008	SAMEA2611385	ERR538171	ERX503381	PRJEB4352	TARA_A100000548	TARA_023
ERS478004	SAMEA2591104	ERR538172	ERX503384	PRJEB4352	TARA_A100000558	TARA_023
ERS478010	SAMEA2611379	ERR538177	ERX503382	PRJEB4352	TARA_A100000561	TARA_023
ERS477988	SAMEA2591093	ERR538173	ERX503388	PRJEB4352	TARA_A100000551	TARA_023
ERS477989	SAMEA2591094	ERR538184	ERX503376	PRJEB4352	TARA_A100000553	TARA_023
ERS478012	SAMEA2611381	ERR538174	ERX503374	PRJEB4352	TARA_A100000554	TARA_023
ERS478003	SAMEA2591103	ERR538175	ERX503387	PRJEB4352	TARA_A100000559	TARA_023
ERS477996	SAMEA2611383	ERR538185	ERX503383	PRJEB4352	TARA_A100000546	TARA_023
ERS478007	SAMEA2591107	ERR594408	ERX552331	PRJEB4419	TARA_E500000082	TARA_023
ERS477992	SAMEA2591097	ERR321017	ERX294150	PRJEB4419	TARA_E500000056	TARA_023
ERS477979	SAMEA2591084	ERR315861	ERX289009	PRJEB1787	TARA_E500000075	TARA_023
ERS477979	SAMEA2591084	ERR315858	ERX289007	PRJEB1787	TARA_E500000075	TARA_023
ERS477998	SAMEA2591098	ERR164408	ERX140285	PRJEB1787	TARA_E500000081	TARA_023
ERS477979	SAMEA2591084	ERR164409	ERX140286	PRJEB1787	TARA_E500000075	TARA_023
ERS477998	SAMEA2591098	ERR315859	ERX289006	PRJEB1787	TARA_E500000081	TARA_023
ERS477998	SAMEA2591098	ERR315860	ERX289008	PRJEB1787	TARA_E500000081	TARA_023
ERS488481	SAMEA2656978	ERR1726675	ERX1796942	PRJEB4352	TARA_A100000360	TARA_024
ERS488485	SAMEA2657018	ERR1726759	ERX1796592	PRJEB4352	TARA_A100000357	TARA_024
ERS488476	SAMEA2619762	ERR868456	ERX948033	PRJEB4352	TARA_A100000362	TARA_024
ERS488498	SAMEA2619778	ERR1726722	ERX1796800	PRJEB4352	TARA_A100000394	TARA_025
ERS488515	SAMEA2619788	ERR868418	ERX948068	PRJEB4352	TARA_A100000396	TARA_025
ERS488521	SAMEA2657045	ERR1726618	ERX1796823	PRJEB4352	TARA_E500000200	TARA_025
ERS488521	SAMEA2657045	ERR1726672	ERX1796807	PRJEB4352	TARA_E500000200	TARA_025
ERS488516	SAMEA2619789	ERR1700913	ERX1771183	PRJEB4352	TARA_A100000398	TARA_025
ERS488506	SAMEA2657015	ERR1726787	ERX1796648	PRJEB4352	TARA_A100000402	TARA_025
ERS488508	SAMEA2657037	ERR1726855	ERX1796606	PRJEB4352	TARA_E500000196	TARA_025
ERS488503	SAMEA2656999	ERR1726976	ERX1796626	PRJEB4352	TARA_A100000400	TARA_025
ERS488497	SAMEA2619777	ERR868356	ERX948024	PRJEB4352	TARA_A100000393	TARA_025
ERS488499	SAMEA2619779	ERR594396	ERX552354	PRJEB4419	TARA_E500000318	TARA_025
ERS488518	SAMEA2619791	ERR594375	ERX552362	PRJEB4419	TARA_E500000306	TARA_025
ERS488486	SAMEA2619766	ERR598951	ERX556082	PRJEB1787	TARA_E500000178	TARA_025
ERS488486	SAMEA2619766	ERR599043	ERX555952	PRJEB1787	TARA_E500000178	TARA_025
ERS488509	SAMEA2619782	ERR599094	ERX556032	PRJEB1787	TARA_E500000331	TARA_025
ERS488509	SAMEA2619782	ERR599153	ERX556124	PRJEB1787	TARA_E500000331	TARA_025
ERS488534	SAMEA2619798	ERR868402	ERX947986	PRJEB4352	TARA_E400007200	TARA_026
ERS488542	SAMEA2657021	ERR1726574	ERX1796503	PRJEB4352	TARA_S400007204	TARA_026
ERS488539	SAMEA2657002	ERR1726673	ERX1796795	PRJEB4352	TARA_S400007202	TARA_026
ERS329499	SAMEA2189652	ERR318588	ERX291753	PRJEB4352	TARA_A100001349	TARA_030
ERS329499	SAMEA2189652	ERR318591	ERX291736	PRJEB4352	TARA_A100001349	TARA_030
ERS329499	SAMEA2189652	ERR318592	ERX291733	PRJEB4352	TARA_A100001349	TARA_030
ERS329499	SAMEA2189652	ERR318606	ERX291754	PRJEB4352	TARA_A100001349	TARA_030
ERS329499	SAMEA2189652	ERR318612	ERX291742	PRJEB4352	TARA_A100001349	TARA_030
ERS329499	SAMEA2189652	ERR318617	ERX291756	PRJEB4352	TARA_A100001349	TARA_030
ERS329501	SAMEA2189654	ERR318587	ERX291762	PRJEB4352	TARA_A100000632	TARA_030
ERS329501	SAMEA2189654	ERR318596	ERX291763	PRJEB4352	TARA_A100000632	TARA_030
ERS329501	SAMEA2189654	ERR318608	ERX291746	PRJEB4352	TARA_A100000632	TARA_030
ERS329501	SAMEA2189654	ERR318609	ERX291749	PRJEB4352	TARA_A100000632	TARA_030
ERS329501	SAMEA2189654	ERR318610	ERX291741	PRJEB4352	TARA_A100000632	TARA_030
ERS329501	SAMEA2189654	ERR318614	ERX291739	PRJEB4352	TARA_A100000632	TARA_030
ERS329502	SAMEA2189655	ERR318586	ERX291752	PRJEB4352	TARA_A100001588	TARA_030
ERS329502	SAMEA2189655	ERR318590	ERX291758	PRJEB4352	TARA_A100001588	TARA_030
ERS329502	SAMEA2189655	ERR318597	ERX291764	PRJEB4352	TARA_A100001588	TARA_030
ERS329502	SAMEA2189655	ERR318599	ERX291740	PRJEB4352	TARA_A100001588	TARA_030
ERS329503	SAMEA2189656	ERR318589	ERX291737	PRJEB4352	TARA_A100001594	TARA_030
ERS329503	SAMEA2189656	ERR318602	ERX291745	PRJEB4352	TARA_A100001594	TARA_030
ERS329505	SAMEA2189658	ERR318585	ERX291747	PRJEB4352	TARA_A100001353	TARA_030
ERS329505	SAMEA2189658	ERR318616	ERX291730	PRJEB4352	TARA_A100001353	TARA_030
ERS329508	SAMEA2189661	ERR318584	ERX291757	PRJEB4352	TARA_A100001592	TARA_030
ERS329508	SAMEA2189661	ERR318611	ERX291759	PRJEB4352	TARA_A100001592	TARA_030
ERS329510	SAMEA2189663	ERR318604	ERX291744	PRJEB4352	TARA_A100001590	TARA_030
ERS329510	SAMEA2189663	ERR318607	ERX291751	PRJEB4352	TARA_A100001590	TARA_030
ERS478025	SAMEA2591116	ERR538178	ERX503390	PRJEB4352	TARA_A100001638	TARA_030
ERS478046	SAMEA2591128	ERR538179	ERX503386	PRJEB4352	TARA_A100001333	TARA_030
ERS478024	SAMEA2591115	ERR538186	ERX503392	PRJEB4352	TARA_A100001640	TARA_030
ERS478033	SAMEA2611384	ERR538189	ERX503389	PRJEB4352	TARA_A100001646	TARA_030
ERS478047	SAMEA2591129	ERR538188	ERX503377	PRJEB4352	TARA_A100001334	TARA_030
ERS478030	SAMEA2591119	ERR321018	ERX294151	PRJEB4419	TARA_A100001017	TARA_030
ERS478052	SAMEA2591132	ERR594405	ERX552368	PRJEB4419	TARA_A100001374	TARA_030
ERS478017	SAMEA2591108	ERR164407	ERX140284	PRJEB1787	TARA_A100001015	TARA_030
ERS478017	SAMEA2591108	ERR315862	ERX289010	PRJEB1787	TARA_A100001015	TARA_030
ERS478040	SAMEA2591122	ERR318620	ERX291769	PRJEB1787	TARA_A100001011	TARA_030
ERS478040	SAMEA2591122	ERR318621	ERX291767	PRJEB1787	TARA_A100001011	TARA_030
ERS478017	SAMEA2591108	ERR315863	ERX289011	PRJEB1787	TARA_A100001015	TARA_030
ERS478040	SAMEA2591122	ERR318618	ERX291766	PRJEB1787	TARA_A100001011	TARA_030
ERS478040	SAMEA2591122	ERR318619	ERX291768	PRJEB1787	TARA_A100001011	TARA_030
ERS488561	SAMEA2657001	ERR1726751	ERX1796578	PRJEB4352	TARA_A100001432	TARA_031
ERS488554	SAMEA2619811	ERR868471	ERX948020	PRJEB4352	TARA_A100001433	TARA_031
ERS488565	SAMEA2657017	ERR1726752	ERX1796834	PRJEB4352	TARA_A100001431	TARA_031
ERS488561	SAMEA2657001	ERR1726942	ERX1796925	PRJEB4352	TARA_A100001432	TARA_031
ERS488551	SAMEA2619808	ERR164417	ERX140296	PRJEB1788	TARA_A100001388	TARA_031
ERS488558	SAMEA2619815	ERR594410	ERX552353	PRJEB4419	TARA_A100001392	TARA_031
ERS488558	SAMEA2619815	ERR594401	ERX552310	PRJEB4419	TARA_A100001392	TARA_031
ERS488545	SAMEA2619802	ERR598969	ERX556018	PRJEB1787	TARA_A100001403	TARA_031
ERS488545	SAMEA2619802	ERR599106	ERX555912	PRJEB1787	TARA_A100001403	TARA_031
ERS488598	SAMEA2656993	ERR1726537	ERX1796537	PRJEB4352	TARA_A100001148	TARA_032
ERS488594	SAMEA2656970	ERR1726917	ERX1796766	PRJEB4352	TARA_A100001144	TARA_032
ERS488609	SAMEA2619850	ERR868348	ERX948114	PRJEB4352	TARA_A100001145	TARA_032
ERS488583	SAMEA2619832	ERR868460	ERX947985	PRJEB4352	TARA_A100001141	TARA_032
ERS488596	SAMEA2656987	ERR1726568	ERX1796936	PRJEB4352	TARA_A100001147	TARA_032
